,sentence_1_re_j,sentence_2_re_j,label,binary-label
1448,심하게 울었네요,정말 미 친 듯이 울었네요,3.8,1.0
1449,청소년 법 폐기 건의드립니다,청소년 보호법 폐지와 학생 자율화 폐지 건의합니다,2.5,1.0
1450,보면서 재미없다고 생각했다,재미없다고 주변에서 말하던 것과는 달리 나한테는 상당히 재미있었다,1.0,0.0
1451,생각보다 자주 출근하게 되네요,생각보다 자주 출근합니다,3.6,1.0
1452,엘렌 진짜 사랑스럽다,이건 진짜 레알 영화다,0.0,0.0
1453,우울증에 걸린 사람들을 도와주세요,피해 받고 있는 교사와 자녀를 도와주세요,0.4,0.0
1454,오랜만에 모은 사진으로 우리 회사 배경 화면을 만들어서 공유드립니다,방금 요청 주신 벚꽃 배경입니다,0.4,0.0
1455,김정은 한국 방문 원함,김정은 남한 방문 극구 반대합니다,1.2,0.0
1456,유쾌한 명작이에요,유쾌한 걸작입니다,4.0,1.0
1457,일용직 일자리가 외국인 불법 고용으로 사라지고 있습니다,일용직 기술직도 정당한 대우가 필요하다 생각합니다,1.0,0.0
1458,사람도 제대로 못한다는 얘기,아무도 잘 할 수 없는 일,0.0,0.0
1459,북한이 먼저 다 문재인,문재인 정부는 북한이 먼저 다입니까,3.5,1.0
1460,여기 맛집이라고 합니다,형 그리 코리안 맛집입니다,2.0,0.0
1461,조두순 출소 반대합니다,조두순 출소 결사반대입니다,3.8,1.0
1462,크림 하우스 유해 물질,크림 하우스 유해 물질 청원합니다,3.0,1.0
1463,언제 들어도 들 썩 들썩입니다,안 그래도 3월부터 슬슬 중문해수욕장이 들썩이고 있습니다,0.8,0.0
1464,몬스테라 뒤에 삐죽 한 건 아보카도 씨앗 심은 아이,아보카도 씨앗들을 흙에 묻어두니 뾰옹 하고 줄기가 올라오더라고요,1.2,0.0
1465,오늘 오시기로 하신 분들은 식당으로 바로 와주시면 될 것 같습니다,오늘 오실 예정이시면 바로 식당으로 오시기 바랍니다,4.0,1.0
1466,이게 사실이라니 정말 경악할 만한 일이다,게다가 실화 라니 놀랍네요,3.4,1.0
1467,사라지거나 무의미한 경험은 없다는 생각을 했네요,사라지거나의 미 없는 경험은 없다고 생각했다,4.0,1.0
1468,중국발 발암물질 미세먼지 해결 촉구,중국발 미세먼지 강력 항의 및 대책 방안,3.0,1.0
1469,뻔하고 있을 수 없는 스토리지만 나름 그 맛에 본 꽃남 시리즈,전편의 제목만 빌려와서 시리즈라고 하기엔 무리가 있는 듣보잡인 듯,0.2,0.0
1470,부동산 감독원 설립을 요청합니다,금융감독원 법무부를 폐쇄시켜주시기를 청원합니다,0.2,0.0
1471,남매의 모습이 너무나 아름다웠어요,형제자매의 모습이 너무 보기 좋았습니다,2.4,0.0
1472,도 최고지만 도 진짜 최고,정말 많은 애니를 뵛지만 역대 최고,2.2,0.0
1473,체험을 원하시면 언제든 연락 주세요,언제든지 연락 주세요,2.8,1.0
1474,모각 공이라는 것은 모여서 각자 공부라는 말의 줄임말인데요,노장 투혼이라는 말이 있습니다,0.2,0.0
1475,국민의 알 권리 드루킹 댓글 농단 끝까지 진실을 밝혀라,천안함 사건의 진실을 밝혀 주세요,0.4,0.0
1476,남는 초 등 교실 활용하여 국공립 유치원 신설,나머지 초등학교 교실을 활용한 국립 공립유치원 건립,4.0,1.0
1477,기존 일정은 삭제해 주셔도 됩니다,기존 일정을 삭제할 수 있습니다,3.0,1.0
1478,조두순 출소 반대,반대 결사반대,0.6,0.0
1479,대통령님께 호소합니다,대통령님께 간절한 마음으로 호소합니다,4.0,1.0
1480,김보름 박지우 두 선수 잘못은 지적하되 포용하고 안 아주는 자세도 필요하다,마녀사냥 그만합시다 위대한 김보름 박지우 선수의 도전,2.2,0.0
1481,그러고 주말에는 꿀 같은 휴식과 약간의 밀린 업무를 하셨다고,그러고 나서는 순서 파괴 책 이야기 밀린 일 얘기를 많이 했네요,0.0,0.0
1482,인천과 서울의 광역버스 폐선 대책이 시급합니다,인천 서울 시외버스 폐쇄 조치 시급,3.4,1.0
1483,난 웃다가 눈물까지 찔끔 흘렸는데 요즘처럼 잔혹함이나 선정성 없으면 관심도 못 끄는 영화판에서 이 영환 참 재미지 고 따뜻해서 유니크해요,웃기도 하고 눈물도 났는데 요즘처럼 잔혹함이나 센세이셔널함이 없이는 주목받지 못하는 영화판에서는 이 영환이가 너무 웃기고 따스하고 독특하네요,3.8,1.0
1484,공무원 좀 많이 뽑아주세요,환경직 공무원 좀 더 뽑아주세요,2.6,1.0
1485,근데 지구인들이 너무 나쁘게 나온다,근데 음란 요소가 너무 많이 나와서 좀 별로,0.0,0.0
1486,그동안 배우분들 수고하셨습니다,모두들 수고하셨습니다,3.2,1.0
1487,문재인 대통령 정부 여당의 여론 악화 조직,문재인 대통령과 정부 여당의 여론 악화 조직,5.0,1.0
1488,기대 이상으로 재밌었다,재미있었다 진심으로,3.4,1.0
1489,중반쯤 보다 보니 대충 감 잡히던데 파트너는 자꾸 집에 가서 자라 그러고,중반까지는 최곤데 막바지에 가서 쓰레기로 전락해 버림,0.8,0.0
1490,헐 심각한 이야기라 이런 말 하기 좀 그렇지만 사진만 보면 재첩 국,대박 한번 할 때 얼마나 틀어 놓나욬,0.0,0.0
1491,체불임금을 나 몰라라 하는 원청 삼성디스플레이는 하청업자들에게 체불임금 지급하라고 강력하게 해주세요,상습적인 임금체불업체 영업정지하여 지속적인 근로자 피해 막아주세요,1.2,0.0
1492,이건 뭐 제목만 그럴싸하게 지으면 호기심에 본다는 건가,어떤 분이 평해 놓으신 것처럼 계속 호기심 발동하게 하는 영상이네요,0.6,0.0
1493,부산지구대 경위를 파면해라 경찰,안전환경부 산 지구대 경위를 파면해라 경찰,3.0,1.0
1494,터미네이터 시리즈는 데서 끝났어야 했다,터미네이터 시리즈는,1.2,0.0
1495,이명박 이 명 출국금지,이명박 대통령 출국금지,3.6,1.0
1496,오랜만에 드라마 본 방사 수 할 듯,오늘도 본 방사 수,2.8,1.0
1497,어이없는 설정들,꿀 잼이 다뀰잼이라 구여,0.0,0.0
1498,액션도 내용도 이게 모야,솔직히 이거 머야,2.6,1.0
1499,원작망치 지 맙시다,재미없습니다 속지 마세요,0.8,0.0
1500,강아지 공장은 마땅히 사라져야 합니다,소액투자자만 죽이는 공매도는 없어져야 합니다,0.4,0.0
1501,설마 김수현을 정책실장으로 올리는 것 아냐 실패한 사람을,김수현을 정책수석으로 올려야 하는 거 아닌가,1.6,0.0
1502,똘망 똘망 님과 백스테이 이지에서 만났습니다,9번째 님과 만났습니다,1.8,0.0
1503,우와 윈터 원더랜드네요,감동의 도가니,0.0,0.0
1504,끝맺음까지 나와 무슨,끝까지 왔어 뭐 야라,1.4,0.0
1505,우리가 어떤 세상에 살고 있는지 불편한 진실,그들의 삶은 지금 우리 삶과 얼마나 다른가,0.0,0.0
1506,국회의원 특활비 폐지,국회 특활비 및 부처별 특활비 폐지합시다,3.0,1.0
1507,지옥의 특전대 뿐만 아니라 주옥같은 작품들을 모아놨습니다,지옥의 특수부대는 물론 보석도 모았다,2.8,1.0
1508,시간 때우기 힘든 영화,힘들고 지칠 때마다 보는 영화,0.4,0.0
1509,평화올림픽 기원합니다,평화는 소중합니다,0.0,0.0
1510,딱 이 생각 그나저나 마당이 우아한 공작에게 너무 잘 어울리고요,바로 이 생각 그런데 마당이 우아한 공작새랑 너무 잘 어울려,4.0,1.0
1511,세상에는 운동을 잘하는 사람이 진짜 많네요,긴박한 영상이 많네요,0.4,0.0
1512,오늘 모드 나 부스트 샷 맞았으니 쉬엄 업무하고 푹 쉬세요,오호 주말까지 푹 쉬세요,1.2,0.0
1513,대한민국의 표준시는 잘못되었습니다,중소기업 정책 잘못됐습니다,0.4,0.0
1514,바쁘신 와중에 오늘 이야기해서 너무 좋았고요,오늘 얘기 나눠서 너무 좋았어요,3.0,1.0
1515,너무 우려내서 국물이 싱 겁니다,너무 즐거운 드라마다 아쉽다,0.0,0.0
1516,나름 재밌다가 찡해지기도 하고 볼만했음,중간에 웃기기도 했고 눈물이 벅차오르기도 했던 영화,2.6,1.0
1517,공유가 필요하신 페이지 링크 공유제 실 수 있을까요,한 번 문의하실 수 있을까요,0.0,0.0
1518,빙상연맹 비리 척결 부탁합니다,빙상연맹을 갈아엎어야 합니다,3.4,1.0
1519,전철연 폭거 없애주세요,지하철 임산부 배려석 없애주세요,0.5,0.0
1520,해외 수입 병행 구매대행업체의 불법 천국 대한민국,불법 성매매 업소 및 알선자 구매자 단속 관련 꼭 서명해 주세요,0.2,0.0
1521,손흥민 선수 군 면제 방안을 모색해 주세요,손흥민 선수 덕에 많은 국민들은 주말을 기 다립니다,1.2,0.0
1522,초반의 지루함만 견뎌내면 정말 마지막에 통쾌할 수 있습니다,초반의 지루함과 답답함을 견 뎌내고 집중한다면 엄청난 것을 얻을 것이다,2.6,1.0
1523,내 생의 최고의 걸작 드라마 이도다,내 인생 최고의 드라마이기도 하다,3.8,1.0
1524,정말 이건 꼭 봐야 합니다,이건 무조건 봐야 합니다,4.4,1.0
1525,심쿵 곡이네요,건강해진 느낌입니다,0.0,0.0
1526,환경미화원 안전보장,환경미화원 근무 개선 및 급여 인상,2.2,0.0
1527,농어촌 의료진 수급 상황을 점검,농촌 의료진 수급 상황 확인,4.0,1.0
1528,여운이 참 기네요,엔딩의 여운이 꽤 가네요,3.6,1.0
1529,언제 어떻게 만나 뵙게 될지 모르겠지만 반갑게 인사 나누고 싶습니다,다시 한번 우리 회사에서 만나 뵙게 되어 너무나 반갑습니다,0.6,0.0
1530,원숭이를 믿어도 될까,제가 형님을 얼마나 좋아하는 데,0.0,0.0
1531,이번 주 pc 팀의 제주도 워크숍 잘 다녀오시길 바라며 다음에 꼭 또 뵙고 이야기 나누어요,각자 팀과 진행하고 있는 업무에 대해서도 이야기 나눴고 다음에 비즈팀 공유 오피스 구경하러 놀러 오시기로 즐거운 주말 보내세요,0.0,0.0
1532,킬링타임 영화는 재밌게 보았다,이건 킬링타임용 영화가 아닙니다,1.0,0.0
1533,못 먹는 건 심지 말자 주의로 가지 않을까 싶습니다,못 먹을 거면 심지 않게 조 심하고 싶네요,2.6,1.0
1534,근로시간 단축 관련,근로시간 단축에 대해,4.4,1.0
1535,님과 4월의 밥 스테이지를 가졌습니다,님과 3월에 미처 하지 못한 밥 스테이지를 진행했습니다,2.4,0.0
1536,감사히 잘 먹겠습니다,감사히 잘 마시겠습니다,3.2,1.0
1537,정말 더럽게 재미없네요,아따 재미없네,3.6,1.0
1538,진정 재밌지 아니한가,너무나 재미있어 여,3.0,1.0
1539,조금 답답한 문재인 정부,점점 더 실망스러운 대통령,1.8,0.0
1540,조립할 때 좀 힘들었지만,조립이 조금 어려웠지만,3.2,1.0
1541,그래픽이 원래 이렇게 좋았나요,도넛이 그렇게 맛이 좋나요,0.0,0.0
1542,네이버가 부동산 농단의 90 기여했다,부동산 스타강사가 투기세력의 핵이었다,0.4,0.0
1543,기존 사건들에 대한 변제 기간 단축의 경우 아직까지도 서울과 대전 외에는 받아 주는 법원은 없는 것으로 보입니다,기존 사건에 대한 상환 기간 단축의 경우 서울과 대전 외에는 이를 받아들일 법원이 없는 것으로 보인다,3.8,1.0
1544,취미생활을 꾸준히 하신다고 하는데요,호기심이 많아서 다양한 취 미 생활을 하고 계신다고 하는데요,2.8,1.0
1545,저 당시 최고의 영화였어,당시 최고의 영화였습니다,4.4,1.0
1546,닥치고 누진세 폐지,누진세 폐지 청원합니다,3.4,1.0
1547,와 음식 너무 초대박이네요,와 음식이 너무 매력적입니다,3.0,1.0
1548,납부한 6500만 원을 돌려주세요,납부한 6500만 원 선처 부탁드립니다,2.6,1.0
1549,너무 귀여워요,아직 몸이 좀 쑤신데,0.0,0.0
1550,품 속 새우깡 이 너무 소듕해 보여요,와 와 두 분 너무 개운해 보여요,0.0,0.0
1551,꺄아 저 진짜 눈치도 없이 냅 따 따라붙을 거예요,와 나도 모르게 따라 해 본 다,0.0,0.0
1552,대한민국 군대 징병 폐지해야 합니다,징병제 폐지해야 한다고 생각합니다,3.8,1.0
1553,주휴수당 폐지 청원,주휴수당 폐지를 청원합니다,4.0,1.0
1554,국민연금 폐지 원금 시 중금리로 하루속히 돌려주시길,임금 미지급 시효 없애고 근속 기간 전체 손해액을 배상하라,0.0,0.0
1555,비트코인 규제 정책을 반대합니다,비트코인 규제 좀 해주세요 사회 악입니다,1.5,0.0
1556,국민연금 적폐 개서 내지 폐지하라,국민연금 재개 아니면 폐지,3.2,1.0
1557,육지에서 쓰지 마세요,이게 아주 멋지고 아마 물속 말고 육지에서도 사용 가능,0.6,0.0
1558,전에 다니던 회사에서의 업무 형태라던가 각자 선호하는 업무 형태들에 대해서 이야기 나눴습니다,예전에 다니던 회사에서 하는 일과 각자 선호하는 일에 대해 이야기를 나눴다,4.2,1.0
1559,아 시간이 너무 빨리 후딱 갔어요,시간이 너무 빨리 갔어요,3.6,1.0
1560,누구를 위한 52시간입니까,주 52시간은 누구를 위한 법입니까,3.6,1.0
1561,학자금 대출받고 졸업 후 취업 못해 신용불량자가 된 청년실업자의 채무를 탕감해 주세요,한국장학재단 학자금 대출로 사회 출발점부터 채무자가 되는 젊은 사람들을 위한 구제 법안을 만들어 주십시오,2.5,1.0
1562,저도 어제 바꿨는데 바꾸면서 유효기간 보고 깜놀,저도 사려다가 가격 보고 포기,0.0,0.0
1563,알고도 속 아주는 건 줄 알았지만 이 정도 일 줄은,이런 영화인 줄 몰랐다,0.8,0.0
1564,나한테 무슨 일이 생긴 거야,나에게 무슨 일이,3.6,1.0
1565,사이비 종교 규제해 주세요,사이버 언론을 제 제해주세요,0.2,0.0
1566,제가 어쩌다가 운동에 취미를 붙이게 되었는지 얘기하다가 거의 시간 다 보냈네요,평소 pr에 관한 궁금증도 해소하고 운동에 대해서 이야기하는 시간 가졌습니다,1.8,0.0
1567,이거 사용기간 3월 12일까진 데 혹시 아직 안 바꾸신 분 계실까 봐,혹시 몇 시쯤부터 계실까요,0.0,0.0
1568,교통 신호등 타이머 설치의 건,교통 신호등 자동 센서 작동 요청,1.4,0.0
1569,감독의 자화상과 같은 영화,감독의 의도를 모르겠는 영화,1.0,0.0
1570,암울한 현실 속에서 만들어진 수작,냉정한 현실 냉소적이지 않은 시선,1.4,0.0
1571,사법행정권 조사 결과에 대하여,사법부 만행에 대한 개선 조치 요구,0.4,0.0
1572,나중에 트러블 생기면 말씀대로 해볼게요,만약 귀에 트러블 생기시면,1.0,0.0
1573,와 정말 건강하게 출산하신 거 넘넘 축하드려요,앞으로도 잘 부탁드리고 정말 너무 축 하 드려요,2.6,1.0
1574,특수효과는 단지 효과적인 도구 일뿐이고 말이야,특수 효과는 효과적인 도구 일뿐입니다,4.0,1.0
1575,주연 배우들의 호 연 적절한 사회의식의 조화 거기에 적절한에 로티 시즌의 결합 신인 감독이라 믿기지 않는 명작입니다,주연 배우들의 탄탄한 연기 적절한 사회의식의 조화 적절한에 로티 시즌의 조합 신인 감독이라고는 믿기 힘든 명작이다,4.2,1.0
1576,크랙 샷 정말 대단,비비지 진짜 기대,0.0,0.0
1577,저희에게도 캐릭터 선정이 필요,캐릭터 선택도 필요해,3.4,1.0
1578,아쉽게도 없는 것 같으니 사진이라도,아쉽게도 사진이 없는 듯,0.8,0.0
1579,채용 비리 근절해 주세요,기획 부동산 근절해 주세요,0.2,0.0
1580,한국 건축에 대한 의식 개선에 대한 영화가 더 많아졌으면 좋겠습니다,영화인들의 특권의식과 그들의 촬영하는 행위에 대한 미화가 듬뿍 담겨 있다,0.0,0.0
1581,무소불위의 금융감독원의 조사역의 민원인에 대한 갑질 행위,보건복지부의 민원인을 무시하는 동문서답식 민원처리 방식,0.6,0.0
1582,완전히 성공입니다,좋은 아침입니다,0.0,0.0
1583,출산 주도 성장해라,언론들 아 진정한 미투를 해라,0.0,0.0
1584,외국인 범죄를 국가별 종교별 범죄 유형별로 통계해 주시고 외국인 범죄에 대한 경각심을 위해 은폐하거나 언론 통제하지 않기를 부탁드립니다,국가별 종교별 범죄 유형별 해외 범죄 통계를 유지하고 해외 범죄 경각심을 높이기 위해 언론을 은 폐하거나 통제하지 마시기 바랍니다,3.8,1.0
1585,평점 진짜 뭐 같이 주네 이 잡것들이 시 걸 형님 영화는 눈으로 보는 게 아니라 마음으로 보는 것이야,진짜 이런 거 평점이 뭐야 시 갈 님 영화는 눈으로 보는 것이 아니라 마음으로 봐요,3.4,1.0
1586,이 분 모르시나요,언제 사진이니 꽈,0.4,0.0
1587,환영의 이 모지 많이 많이 부탁드려요,환영 이모티콘 많이 보내주세요,4.0,1.0
1588,수능 최저등급 폐지 반대,수능 최저기준 폐지 반대합니다,3.8,1.0
1589,지방 광역시 투기 근절 요청,강남발 부동산 폭 등 근절 방안,0.4,0.0
1590,개인 신용등급 폐지해 주세요,실용성 없는 청원 사이트 폐지해 주세요,0.4,0.0
1591,일단 제가 아는 멤버들 중에는 없는 것 같습니다,넵 그룹이면 문제없을 것 같습니다,0.0,0.0
1592,한국 영화를 두 번 다시는 보지 않게 해주는 영화,난 우리 영화를 사랑합니다,0.2,0.0
1593,첨부터 못 봤는데 그냥 계속 보게 되던데요,별로던데 분보다 가 안 봤음,0.0,0.0
1594,사람의 감정을 잘 처리한 영화,인간의 더러운 내면을 잘 표현한 영화,1.2,0.0
1595,법무법인 김앤장의 세무조사 및 회계조사를 청원합니다,국정원 직원들의 여중생 성폭행 사건에 대한 수사 및 엄벌을 청원 드립니다,0.2,0.0
1596,용산 전자상가 거품 가격 폭주,용산 전자상가 세무조사 및 유통구조 담합 가능성,1.8,0.0
1597,한전 해체시켜야 한다,국민연금 폐지하라,0.0,0.0
1598,고민을 함께 나눠주시며 줌 바를 추천해 주셨습니다,이해하지 못한 저를 위해 친절히 설명을 해주셨습니다,0.0,0.0
1599,소년법 폐지해 주세요,소년법 폐지해 주세요,4.6,1.0
1600,작가가 이런 대를 보내면서 자랐나 봄,이런 대 공감 영화가 있는지 몰랐네,0.0,0.0
1601,그냥 큰 음서 통을 살까도 생각했는데 냄새가 너무 나겠더라고요,잠깐 내용을 살펴봤는데 너무 재미있을 것 같더라고요,0.0,0.0
1602,좋은 모델이 좋은 제품에 들어가서 좋은 사용성을 만들어내는 그날이 빨리 왔으면 좋겠네요,빨리 자유롭게 해외여행을 하는 날이 왔으면 좋겠습니다,1.4,0.0
1603,이국종 교수님 권역 외상 센터 지원,이국종 교수와 권역 외상 센터 지월,3.8,1.0
1604,영화처럼 오페라를 감상하는 것도 초보자에게는 좋은 방법이었고 멀리 잘츠부르크의 축제를 본다는 느낌도 좋았습니다,오페라를 영화처럼 관람하는 것은 초보자들에게 좋은 방법이었고 멀리서 잘츠부르크의 축제를 보는 것만으로도 기분이 좋았다,4.0,1.0
1605,팀스에 이런 아바타 기능이 이미 출시된 듯하네요,이런 기능이 요긴한 지 테스트 중입니다,0.6,0.0
1606,아 이거 그냥 당기니 열었습니다,아 방금 개봉했어요,0.0,0.0
1607,독도를 한반도기에 표기 청원합니다,한반도에 독도 표시를 해달라는 청원,3.6,1.0
1608,재밌으면 그만이다,재미있으면 끝입니다,3.6,1.0
1609,나중에 만나 뵈어요,나중에 또 뵈어요,4.0,1.0
1610,날 맞춰서 서울 가겠습니다,경기도민이지만 가끔 날 잡고 서울 가겠습니다,2.8,1.0
1611,문재인 대통령님 응원합니다,문재인 대통령님 존경합니다 응원합니다,3.2,1.0
1612,마음 놓고 아이를 키울 수 있는 대한민국을 만들어 주세요,대한민국을 아이들이 안심하고 키울 수 있는 곳으로 만들어 주세요,3.8,1.0
1613,destiny,운명,4.6,1.0
1614,레고가 없어서 못해보는데 어떻게 한 건지 신기하네요,홀 너무 신기하네요,1.4,0.0
1615,이민 가면 국민연금 환불해 주나요,국민연금 폐지 한번 생각해 보시면 안 되나요,1.2,0.0
1616,의혹투성이 대 연비치 재건축 과정 수사 청원합니다,이명박 아들 이시형 마약 투약 혐의 재수사 및 고의 누락 검찰 수사 관련자 처벌 청원합니다,0.0,0.0
1617,허 oo 피의 수많은 감정들이 심장으로 느껴졌다,잔인한 살인 이야기 일 수 있지만 내가 느끼기엔 한 남자의 가슴 절절한 사랑 이야기로만 느껴졌다,0.4,0.0
1618,고령의 택시 운전자 연령 제한해 주세요,고령 운전자 면허증의의 무 반납,1.4,0.0
1619,거룡의 한국 대표작,폴란스키의 걸작,0.0,0.0
1620,당시 개봉했을 때는 획기적이었을 수 있으나 지금 보면 웃음만 나옴,개봉 당시 봤었더라면 재밌었을지도,1.8,0.0
1621,각본 짜고 시나리오 쓴 놈이 불쌍하다,시나리오를 쓰고 시나리오를 쓴 사람에게 미 안 하다,2.0,0.0
1622,지역 인재 충남지역 대학 역차별,하남지역 초등학교 돌봄 교실 확충 청원합니다,0.0,0.0
1623,어린이집 cctv 실시간 혹은의 무적으로 방영하도록,실시간 방송 또는 어린이집 cctv 필수,3.0,1.0
1624,아직도 신현준의 황 장군 연기는 음,정종철 박준형 등 이 무리의 사람들이 나오는 영화는 크게 성공 안 한 듯,0.0,0.0
1625,조만간 또 함께 이야기 나눠요,조만간 또 뵙고 많은 이야기 나눠요,3.8,1.0
1626,어제 the verge에서 소개한 핸드폰 보고 약간 신기했었는데 위의 링크된 글을 보니 소프트웨어도 같이 직접 만들었다고 하네요,어제 tv에서 하는 방구석 1열 방영하는 걸 봤는데 기억에 관련된 영화를 소개하는 편이 더군 요 기억의 밤 내가 잠들기 전에,0.0,0.0
1627,완전 무사고 대단한 영화,완벽하게 흠잡을 데가 없는 훌륭한 영화,2.6,1.0
1628,저는 지체 장애 3급입니다,저는 정신장애 3급 장애인입니다,0.6,0.0
1629,도대체 지정 헌혈이 무엇인지 요 이래서 헌혈을 할까요,청소년 보호법이 과 연 청소년을 지키고 있을까요,0.0,0.0
1630,장애인 활동 보조 관련해서 요청합니다,장애인 활동 보조 문제점에 대해 청원합니다,3.2,1.0
1631,도착해서 연락드릴까요,잠 안 올 때 전화드려도 될까요,1.4,0.0
1632,누구나 자신의 마음에 관심을 갖고 귀 기울여 들려오는 이야기와 깊이 있는 바라봄을 통해 그림들을 꺼내 놓는다면 랄프와 같은 영감을 갖게 될 것 같습니다,누구든지 자신의 마음에 관심을 갖고 들려오는 이야기와 깊이 있는 시선으로 그림을 그리면 랄프와 같은 영감을 받을 것 같다,4.4,1.0
1633,우리 아이와 애 학교 친구 주는 재미있다고 했어요,울 아들과 봤는데 너무 재미있어하고 또 보고 싶다고 하네요,2.6,1.0
1634,제주도 플렉스,와 나 베이스 좋아했네,0.0,0.0
1635,바로 감사하다는 말씀이었는데요,타지에서 가족 같은 사람들이 있어서 좋다는 말이 너무나 부럽기도 하고 좋아 보였어요,0.0,0.0
1636,진짜 아무리 코미디 영화라지만,이런 걸 영화라고 하냐,0.8,0.0
1637,병역 면제는 포상의 대상이 되어 선 안 됩니다,국방 의의 무 어떤 사유든 면제는 없어야 한다,2.2,0.0
1638,제가 제일 좋아하는 두 뮤지션의 조합,내가 좋아하는 두 뮤지션의 조합,4.2,1.0
1639,국민을 버리는 대한민국,국민을 똑같은 국민으로,0.6,0.0
1640,등이 다,안 봤는데 평점 높아 이 딴 영화가,0.0,0.0
1641,뜬구름 잡는지 겨웠다,아 지구 내부에서 죽은 사람들 정말 감동이었다,0.0,0.0
1642,수능 연기를 하되 수능 고사장으로 지정된 학교는 일주일 휴교령을 내려 주시기 바랍니다,서울시설공단 대표와 일주일 동행 요청,0.0,0.0
1643,결코 싸구려 영화 아님,결코 싸구려 영화가 아니다,4.0,1.0
1644,통일 대통령 자유통일해 보지,통일 대통령 자유통일해 보자,4.0,1.0
1645,앞으로도 기 대할게요,이번엔 기대했는데 역시 나네요,0.6,0.0
1646,기타 설정하겠습니다,그러면 이해하겠습니다,0.0,0.0
1647,기나긴 연휴를 보내고 왔음에도 모두들 많이 준비를 해오셔서 생각보다 빠르게 이야기가 진행이 되었네요,긴 연휴였지만 다들 준비를 많이 해서 생각보다 스토리 진행이 빨랐어요,3.8,1.0
1648,대우조선해양 지원을 중단하라,대우조선해양 대표이사 인사에 신중을 기해 주십시오,0.8,0.0
1649,해저 이 인종을 불시 침입을 막기 위해 결계를 치고 계시는 것 같습니다,바닷속 외계인의 침공을 막기 위해 방벽을 치고 있는 것 같습니다,1.4,0.0
1650,좀 주인공이 짜증 났음 마지막 도 그렇고,제목도 그렇고 정말로 짜증이 나는 영화였다,2.2,0.0
1651,세월호에 국민에 맘을 모아 진상 규명,세월호 관련 비용 일체 대국민 공개 청원,1.0,0.0
1652,세탁기 건조기에도 전혀 줄지 않았다 앗싸,세탁기 건조기도 전혀 줄어들지 않았어요 죄송합니다,2.8,1.0
1653,수요일을 휴일로 만들어 주세요,식목일 공휴일로 만들어 주세요,1.0,0.0
1654,우와 진심 대박,와 너무 좋아요,2.4,0.0
1655,주말에 가면 주차도 꼭 주차장에 할 필요 없이 도로 우측에 세울 수 있도록 되어 있어서 주차난도 별로 없는 느낌,주말에 가시면 주차장에 따로 주차하실 필요가 없어서 도로 우측에 주차가 가능해서 주차하는데 큰 어려움은 없습니다,3.6,1.0
1656,원작을 잘 못 살렸을 줄 알았는데 아니었다,원작의 느낌을 잘 살린 영화,3.0,1.0
1657,이 분 진짜 톱클래스,엌 진짜 연예인이 시네요,0.0,0.0
1658,의지가 돋보이는 영화였다,눈물 쏙 빼는 감동적인 영화였다,0.8,0.0
1659,왜 히치콕이 명 감독인지 알게 되었어요,아마 마이클 만 무명 시절이었지 몰지만 비디오 출시한 la 강력반 영화를이라 봤는데 너무 재밌었어요,0.0,0.0
1660,님과 티타임,과의 티타임,4.6,1.0
1661,가슴이 먹먹해온다,가슴이 먹먹해지는,3.8,1.0
1662,이거 좀 본까지 입을 수 있는 얇은 버전으로 100개 더 고고,다음에 또 얘기하게 되면 좀 더 친해진 버전으로 입 털어보자는 기 약을 남겼습니다,0.0,0.0
1663,기대를 안 하고 봐서 그런가,뭔가 어설프다,0.0,0.0
1664,아찔한 세계의 이야기 두 분 덕분에 흥미진진 재밌었네요,댓글들도 흥미진진,1.0,0.0
1665,현송월 밥값 대 아이스하키 선수들 식사,한 달도 안 남은 여자 아이스하키 단일팀,0.4,0.0
1666,이명박 출국금지해주세요,이명박 출국금지해야 합니다,4.2,1.0
1667,두 사람이 연기 호흡이 괜찮았다,둘은 담배도 잘 피고 숨도 잘 쉬고,0.0,0.0
1668,제주 공항 파리바게뜨에서만 파는 빵 샌드인데 커피랑 완전 잘 어울려요,제주공항 파리바게뜨에서만 파는 빵 샌드위치지만 커피와 찰떡궁합이다,4.0,1.0
1669,오잉 제가 하면 좋은데 내용을 몰라서,오 저는 먹고 운동 안 하는 데,0.0,0.0
1670,이명박 씨 출국금지해주세요,이명박 씨를 출국 금지해 주시기 바랍니다,4.4,1.0
1671,스터디 menu 나누고 싶은 정보가 있다면 oth ers에 링크 추가해 두었습니다,님 혹시 관심 있으실까 하여 두 권 모두 상현 사무실에 두었습니다,0.0,0.0
1672,재밌게 봤는데 진짜,이거 진짜 재밌게 봤는데,3.8,1.0
1673,역대 시트콤 중에 최고 레전드,말 그대로 영화 자체가 레전드,0.8,0.0
1674,수도권 대출 규제 완화,대출 규제 완화해 주세요,2.8,1.0
1675,앗 그리고 쿠팡 기사님도 잔뜩 뭔가 놓고 가셔서 옮겨둘게요,제주도 계신 분들 근처 오름 가셔서 별구경 해보세요,0.0,0.0
1676,오늘 밤 다들 악 몸 꾸실 거예요,몸 사리는 거 최고네요,0.0,0.0
1677,이참에 살아보고 싶은 곳에서 살아야 할지,하늘 좀 보고 살아야겠어요,0.2,0.0
1678,다주택자들의 공직 진출을 막아주십시오,다가구 주택의 관공서 진입 방지,1.0,0.0
